IDDEPTO,NOMBRE
5,Antioquia
54,Norte de Santander
50,Meta
27,Chocó
41,Huila
13,Bolívar
25,Cundinamarca
20,Cesar
68,Santander
17,Caldas
85,Casanare
25,Nariño
44,La Guajira
44,Caquetá
76,Valle del Cauca
47,Magdalena
73,Tolima
66,Risaralda
15,Boyacá
81,Arauca
19,Cauca
63,Quindío
23,Córdoba
8,Atlántico
8001,Barranquilla D.E.
11,Bogotá D.C.
76109,Buenaventura D.E.
23,Sucre
13,Guaviare
13001,Cartagena D.T. y C.
52,Putumayo
94,Guainía
91,Amazonas
99,Vichada
97,Vaupés
88,Archipiélago de San Andrés Providencia y Santa Catalina
47001,Santa Marta D.T. y C.
